"","logFC","AveExpr","t","P.Value","adj.P.Val","B","change"
"NGF",-1.80488827929376,4.52094910212217,-4.40747916963654,0.000128188716186074,0.0175618541174921,1.11871022116359,"DOWN"
"IL32",-1.51753430455315,5.87813162469164,-3.68827604494433,0.000913527854701138,0.0491221082772314,-0.675598268730433,"DOWN"
"OASL",-1.12320250742498,9.72238909698276,-3.12891387164602,0.00394333027390961,0.135059061881404,-1.99746327942231,"DOWN"
"MMP9",-1.06378483072781,10.1607339159203,-3.01714929590746,0.00522931070169714,0.143283113226502,-2.25007444327835,"DOWN"
"CHP2",1.5287279239993,5.71825625960423,2.80340098950963,0.008871050244046,0.167274465602306,-2.72000899866669,"UP"
"BMP4",1.488014164364,4.37969573073923,2.57899988280591,0.0151772812392055,0.167274465602306,-3.19239710873952,"UP"
"IL12RB2",-1.08180051648258,7.00943262952697,-2.50714044360838,0.0179486492351091,0.167274465602306,-3.3386464758543,"DOWN"
"TNFRSF12A",-1.27690170745274,9.93153214351118,-2.50536259847372,0.0180227836167542,0.167274465602306,-3.3422321233894,"DOWN"
"OSGIN1",1.15320292585135,5.64817890921011,2.38158795866901,0.0239322408567643,0.17698946836183,-3.58785137869577,"UP"
"POMC",1.1151212450397,5.18028611626662,2.30549024250031,0.0283936854583964,0.17698946836183,-3.73478912109158,"UP"
"PAK5",1.34014523109129,4.95312274934404,2.28666456520915,0.0296078796715876,0.17698946836183,-3.77064348098375,"UP"
